customer_id,customer_type,region,past_defaults,overdue_days,amount_due,recovered
C0001,Retail,North,1,25,12000,1
C0002,SME,South,0,10,8000,1
C0003,Corporate,West,0,5,50000,1
C0004,Retail,East,3,60,15000,0
C0005,SME,North,2,45,20000,0
C0006,Corporate,South,1,20,70000,1
C0007,Retail,West,4,90,10000,0
C0008,SME,East,1,30,18000,1
C0009,Corporate,North,0,12,85000,1
C0010,Retail,South,2,50,14000,0
C0011,SME,West,1,35,22000,1
C0012,Corporate,East,0,8,60000,1
C0013,Retail,North,3,70,13000,0
C0014,SME,South,2,55,25000,0
C0015,Corporate,West,1,25,90000,1
C0016,Retail,East,4,95,11000,0
C0017,SME,North,0,15,17000,1
C0018,Corporate,South,0,10,75000,1
C0019,Retail,West,2,40,16000,0
C0020,SME,East,1,28,21000,1
C0021,Corporate,North,0,7,88000,1
C0022,Retail,South,3,65,14500,0
C0023,SME,West,2,48,23000,0
C0024,Corporate,East,1,18,67000,1
C0025,Retail,North,4,100,9000,0
C0026,SME,South,0,12,19000,1
C0027,Corporate,West,0,9,82000,1
C0028,Retail,East,2,42,15500,0
C0029,SME,North,1,30,26000,1
C0030,Corporate,South,0,6,95000,1
C0031,Retail,West,3,75,13500,0
C0032,SME,East,2,50,24000,0
C0033,Corporate,North,1,22,78000,1
C0034,Retail,South,4,110,10000,0
C0035,SME,West,0,18,20000,1
C0036,Corporate,East,0,11,69000,1
C0037,Retail,North,2,45,17000,0
C0038,SME,South,1,32,28000,1
C0039,Corporate,West,0,5,88000,1
C0040,Retail,East,3,68,14500,0
C0041,SME,North,2,55,26000,0
C0042,Corporate,South,1,20,72000,1
C0043,Retail,West,4,98,9500,0
C0044,SME,East,0,14,23000,1
C0045,Corporate,North,0,9,91000,1
C0046,Retail,South,2,48,16000,0
C0047,SME,West,1,33,27000,1
C0048,Corporate,East,0,7,86000,1
C0049,Retail,North,3,72,14000,0
C0050,SME,South,2,58,29000,0
C0051,Corporate,West,1,21,73000,1
C0052,Retail,East,4,105,9800,0
C0053,SME,North,0,16,22000,1
C0054,Corporate,South,0,10,90000,1
C0055,Retail,West,2,44,16500,0
C0056,SME,East,1,29,25000,1
C0057,Corporate,North,0,6,87000,1
C0058,Retail,South,3,66,15000,0
C0059,SME,West,2,52,24000,0
C0060,Corporate,East,1,19,76000,1
C0061,Retail,North,4,99,9200,0
C0062,SME,South,0,13,21000,1
C0063,Corporate,West,0,8,89000,1
C0064,Retail,East,2,41,15800,0
C0065,SME,North,1,34,27000,1
C0066,Corporate,South,0,5,94000,1
C0067,Retail,West,3,74,13800,0
C0068,SME,East,2,49,25500,0
C0069,Corporate,North,1,23,80000,1
C0070,Retail,South,4,108,9600,0
C0071,SME,West,0,17,23000,1
C0072,Corporate,East,0,9,88000,1
C0073,Retail,North,2,46,16800,0
C0074,SME,South,1,31,26500,1
C0075,Corporate,West,0,6,92000,1
C0076,Retail,East,3,69,14200,0
C0077,SME,North,2,54,28000,0
C0078,Corporate,South,1,20,75000,1
C0079,Retail,West,4,97,9800,0
C0080,SME,East,0,15,24000,1
C0081,Corporate,North,0,8,87000,1
C0082,Retail,South,2,47,16000,0
C0083,SME,West,1,36,26000,1
C0084,Corporate,East,0,7,91000,1
C0085,Retail,North,3,71,14500,0
C0086,SME,South,2,56,28500,0
C0087,Corporate,West,1,22,78000,1
C0088,Retail,East,4,102,9500,0
C0089,SME,North,0,14,22500,1
C0090,Corporate,South,0,10,90000,1
C0091,Retail,West,2,43,17000,0
C0092,SME,East,1,28,25500,1
C0093,Corporate,North,0,6,88000,1
C0094,Retail,South,3,67,14800,0
C0095,SME,West,2,51,27500,0
C0096,Corporate,East,1,18,74000,1
C0097,Retail,North,4,101,9300,0
C0098,SME,South,0,16,23500,1
C0099,Corporate,West,0,8,89000,1
C0100,Retail,East,2,40,16000,0
